region,line_desc,total_qty,net_amt,sku_count
CHINA,CHEVRON VISETOS,7.0,4460.169982910156,1
CHINA,ANIMAL CHARM,7.0,1123.8900146484375,1
CHINA,OLD ELLA,6.0,7079.650085449219,2
Europe,OLD KARO,6.0,628.629997253418,2
CHINA,DIETRICH,6.0,1274.3399810791016,1
Europe,CLAUDIA,6.0,807.9800186157227,4
Europe,OLD VISETOS,5.0,659.49001121521,5
Middle-East,FEDERLITE,5.0,8997.16015625,5
Japan,MCM MONOGRAM,5.0,167700.0,2
HMS,MCM TRAVEL COLLECTION,5.0,8332.68994140625,4
Japan,OLD TRISHA,5.0,161700.0,2
Japan,OLD KOREA,5.0,9000.0,3
Japan,MILLA,5.0,696000.0,2
CHINA,KOREA,5.0,1805.3099670410156,3
North,OLD SKYWARD,5.0,1053.0,4
North,OLD VISETOS,5.0,6648.039978027344,3
North,OLD TERRAIN DERBY,5.0,321.1800003051758,5
Europe,MCM ANIMAL,4.0,2437.6100158691406,4
HMS,OLD MILLA,4.0,10000.0,2
North,OLD TRACY,4.0,462.1999969482422,2
HMS,OLD ELLA,4.0,246.72999954223633,1
North,OLD STARK,4.0,2176.9500122070312,4
CHINA,OLD MIX LINE,4.0,5407.079849243164,3
Middle-East,PINA,4.0,12833.099609375,3
CHINA,OLD KARO,4.0,309.7200012207031,2
Korea,OLD ITALIA,4.0,281090.0,3
CHINA,OLD ANIMAL CHARM,4.0,177.0,1
CHINA,LUXURY,3.0,8.850000381469727,1
Europe,DUKE,3.0,2926.3800659179688,1
North,OLD ITALIA,3.0,408.6800003051758,4
CHINA,OLD MCM ANIMAL,3.0,57375.22180175781,3
CHINA,DIA,3.0,21771.81005859375,2
Europe,OLD MARKUS,3.0,478.99000549316406,1
Europe,KISSEN,3.0,1137.2400207519531,2
Korea,DIA,3.0,4700091.0,2
Korea,X-LINE,3.0,227273.0,3
Japan,VISETOS,3.0,81000.0,1
CHINA,OLD VISETOS,3.0,407.0799903869629,3
Korea,OLD MCM ANIMAL,3.0,1263636.0,2
CHINA,E,3.0,123.9000015258789,2
HMS,TRISHA,3.0,11794.390014648438,1
Japan,DUKE,3.0,426000.0,1
North,C-LINE,3.0,225.0,2
HMS,X-LINE,3.0,16632.0,1
CHINA,M-LINE,3.0,53.10000228881836,2
North,LUXURY,2.0,3944.0,2
CHINA,GERMANY,2.0,35.400001525878906,2
CHINA,OLD ROBOTER,2.0,70.79999923706055,2
North,WHITE LOGO VISETOS,2.0,234.1999969482422,2
CHINA,OLD ODEON,2.0,132.73999786376953,2
CHINA,OLD MCM TRAVEL COLLECTION,2.0,7504.419921875,1
Europe,KAROLINE,2.0,388.65000915527344,1
CHINA,OLD EVA,2.0,176.99000549316406,1
HMS,DIA,2.0,7801.9300537109375,1
Japan,RESNICK,2.0,57100.0,2
Korea,DIETER,2.0,469091.0,2
Korea,OLD X-LINE,2.0,200000.0,1
Korea,OLD PATRICIA,2.0,325091.0,2
Middle-East,MCM TRAVEL COLLECTION,2.0,3275.2401123046875,2
North,OLD ANIMAL CHARM,2.0,158.39999389648438,1
North,OLD COLLABORATION,2.0,1429.1699829101562,1
CHINA,OLD E,2.0,575.2200164794922,2
Europe,OLD MCM TRAVEL COLLECTION,2.0,2325.0,1
Europe,OLD KOREA,2.0,134.5800018310547,2
HMS,OLD SKYWARD,2.0,970.0,2
HMS,OLD STARK,2.0,-312.1500244140625,2
CHINA,FASHION SHOW,1.0,44.25,1
North,MILANO,1.0,-1075.7999877929688,3
North,M-BAR,1.0,195.0,1
Japan,OLD TERRAIN DERBY,1.0,10200.0,1
Japan,OLD STARK,1.0,74700.0,1
HMS,OLD TERRAIN DERBY,1.0,150.0,1
HMS,OLD BERLIN,1.0,370.0899963378906,1
CHINA,PRINCESS LION,1.0,127.43000030517578,1
HMS,OLD TRISHA,1.0,2160.0,1
Japan,FEDERLITE,1.0,67000.0,1
HMS,OLD MCM TRAVEL COLLECTION,1.0,2082.610107421875,1
CHINA,X-LINE,1.0,132.74000549316406,1
North,OLD SKYOPTIC STUD VISETOS,1.0,375.0,1
North,PRINCESS LION,1.0,106.8000030517578,1
HMS,DUKE,1.0,400.0,1
Japan,OLD SKYWARD,1.0,12800.0,1
Japan,OLD ELLA,1.0,1820.0,1
Japan,OLD MILANO,1.0,54600.0,1
Japan,OLD NOVELTY LINE,1.0,16000.0,1
Europe,OLD COBURG,1.0,52.93999862670898,1
Europe,OLD DIETER,1.0,178.0800018310547,1
Europe,PATRICIA,1.0,457.55999755859375,1
Korea,PRINCESS LION,1.0,-21818.0,2
Korea,LEO,1.0,45455.0,1
Korea,OLD NOVELTY LINE,1.0,184000.0,1
Korea,BOSTON M,1.0,109091.0,1
Korea,MCM ANIMAL,1.0,836364.0,1
Korea,OLD SKYWARD,1.0,63636.0,1
Europe,OLD M-BAR,1.0,158.82000732421875,1
Korea,VERY MCM,1.0,45455.0,1
North,OLD KOREA,1.0,59.0,1
Middle-East,BERLIN,1.0,6086.669921875,1
Europe,OLD MILLIE,1.0,161.75999450683594,1
North,OLD MCM TRAVEL COLLECTION,1.0,240.0,1
Middle-East,DIA,1.0,4733.330078125,1
Middle-East,KLARA,1.0,2009.52001953125,1
North,OLD COLOR VISETOS,1.0,219.0,1
North,OLD PATRICIA,1.0,94.8000030517578,1
CHINA,OLD MONA,1.0,265.489990234375,1
North,OLD DUKE,1.0,900.0,1
CHINA,OLD DENIM SERIES,1.0,1221.239990234375,1
CHINA,OLD LUXURY,1.0,4.429999828338623,1
North,VISETOS,1.0,165.0,1
Middle-East,OLD MCM COLLECTION,1.0,72.37999725341797,1
North,X-LINE,1.0,77.0,1
Europe,OLD ESSENTIAL,0.0,-340.3399963378906,1
