sku_cd,non_promo_avg_daily_qty,promo_avg_daily_qty,promo_lift,demand_class,abc_class,total_qty
MYS9APA13CO001,3.6172566371681416,2.7037037037037037,-0.25255408313512284,Lumpy,A,1624.0
MWTCSBO02CO001,4.392,3.273381294964029,-0.25469460497176033,Lumpy,A,4609.0
MWPCSVI02CO001,3.0984375,2.272727272727273,-0.26649245862559023,Erratic,A,3816.0
MWSBAER01CO001,7.036750483558994,5.146417445482866,-0.2686372129426493,Erratic,A,8535.0
MWTCABO07CO001,3.19672131147541,2.3333333333333335,-0.2700854700854701,Lumpy,A,3266.0
MPFDSMM04BK001,4.738478027867095,3.392857142857143,-0.283977445309723,Erratic,A,4482.0
MWTDSBO06CO001,5.388965517241379,3.644230769230769,-0.323760607194188,Lumpy,A,4124.0
MWSCAXT01CO001,3.1649089165867688,2.1272727272727274,-0.3278565723885323,Lumpy,A,3250.0
MWTCABO07BK001,2.155440414507772,1.4106280193236715,-0.3455499814195466,Lumpy,A,1859.0
MPFCSMM01CO001,5.249266862170088,3.3636363636363638,-0.359217877094972,Lumpy,A,1843.0
MWPDALR01BK001,3.2819843342036554,2.05,-0.3753778838504376,Lumpy,A,2560.0
MXLAAVI01CO001,4.3364928909952605,2.6702127659574466,-0.38424601790489477,Lumpy,A,4595.0
MWPDSLR02WT001,3.2552182163187857,1.9333333333333333,-0.406081803167201,Erratic,A,3343.0
MMKAAVE09CO001,2.662605435801312,1.509433962264151,-0.4330988955523234,Lumpy,A,2777.0
MMKAAVE15I8001,3.942906574394464,2.1176470588235294,-0.4629223343571742,Lumpy,A,2208.0
MPFCAMM01T1001,2.764130434782609,1.46,-0.4718049547778215,Lumpy,A,2489.0
MMKAAVE15CO001,6.682212581344903,3.5294117647058822,-0.47181989172880645,Lumpy,A,5911.0
MWPFSLR07PZ001,7.970749542961609,4.1875,-0.47464162844036695,Erratic,A,4407.0
MYLDSXT01CO001,2.3612637362637363,1.173913043478261,-0.502845435920783,Intermittent,A,1659.0
MWPAAVI02BK001,7.893356643356643,3.5833333333333335,-0.5460317460317461,Lumpy,A,4332.0
MPFCAMM02T1001,3.4554973821989527,1.263157894736842,-0.6344497607655503,Lumpy,A,3165.0
MPFCAMM03T1001,5.394039735099338,1.9230769230769231,-0.6434811351938423,Lumpy,A,4703.0
MMTAAKC02CO001,11.665893271461718,3.8855721393034828,-0.666928879864797,Erratic,A,11841.0
MWDBAXL01BK001,7.099667774086379,2.217391304347826,-0.6876767512359871,Lumpy,A,2177.0
MWPEALR01QH001,6.626801152737752,1.8333333333333333,-0.7233456548525041,Erratic,A,4402.0
MWBBAER01QH001,10.61320754716981,2.5,-0.7644444444444445,Lumpy,A,2210.0
MESCSMM24CO040,6.415492957746479,1.2727272727272727,-0.8016166051292286,Lumpy,A,1747.0
MWPFSMT02CO001,5.06941431670282,1.0,-0.8027385537013265,Lumpy,A,2227.0
MWBEAEA01QH001,7.063679245283019,1.0,-0.8584307178631052,Lumpy,A,2851.0
MWPAAVI02CO001,23.583703703703705,3.1538461538461537,-0.8662701078053802,Lumpy,A,15191.0
MWPDSLR02CO001,10.552910052910052,1.3333333333333333,-0.8736525444973677,Lumpy,A,3802.0
MPFDAMM07CO001,7.9447852760736195,1.0,-0.8741312741312741,Lumpy,A,2469.0
MEZCAMM17BK0ML,2.2709302325581397,,,Lumpy,A,1869.0
MEZCAMM17CO0ML,3.1825993555316865,,,Lumpy,A,2827.0
MMKCAVE07B1001,,6.080985915492958,,Lumpy,A,1672.0
MMKEAVE12BK001,3.1017241379310345,,,Erratic,A,1710.0
MMKEAVE14CO001,6.3907380607814765,,,Erratic,A,4206.0
MMKEAVE15CO001,15.26086956521739,,,Erratic,A,10360.0
MMKEAVE15IG001,4.1344,,,Erratic,A,2457.0
MMKEAVE15PZ001,4.269293924466338,,,Erratic,A,2471.0
MMKEAVE16CO001,4.7272727272727275,,,Erratic,A,2966.0
MMKEAVE16PZ001,3.1822827938671208,,,Erratic,A,1782.0
MMKFAVE13QH001,6.420875420875421,,,Erratic,A,1812.0
MMTCATA03B1001,,9.343096234309623,,Lumpy,A,2128.0
MPFBSMM01CO001,8.019159456118665,,,Erratic,A,12357.0
MPFBSMM02CO001,6.668753913587977,,,Erratic,A,10136.0
MPFBSMM03CO001,8.465352828989193,,,Erratic,A,12662.0
MPFBSMM04CO001,3.9201244813278007,,,Lumpy,A,3591.0
MPFESMM02PK001,6.834730538922155,,,Erratic,A,5426.0
MPFESMM03PK001,3.546153846153846,,,Erratic,A,2629.0
MPFESMM04PK001,4.928057553956834,,,Erratic,A,3906.0
MPFFAMM03PK001,9.200934579439252,,,Erratic,A,1876.0
MPFFAMM04CO001,7.49800796812749,,,Erratic,A,1788.0
MPFFSMM03PK001,5.312039312039312,,,Erratic,A,2058.0
MPFFSMM07CO001,3.6890380313199107,,,Erratic,A,1578.0
MPFFSMM12CO001,4.541237113402062,,,Erratic,A,1676.0
MWBFAEA03CO001,6.625322997416021,,,Smooth,A,2437.0
MWPEALR05CO001,5.53125,,,Erratic,A,2534.0
MWPFSLR03PZ001,5.752845528455285,,,Erratic,A,3372.0
MWPFSMT03CO001,33.56528662420382,,,Erratic,A,20030.0
MWPFSMT03PZ001,10.8109375,,,Erratic,A,6579.0
MWPFSMT03QH001,36.71895424836601,,,Erratic,A,10699.0
MWPFSMT06PZ001,12.940902021772938,,,Erratic,A,7906.0
MWPGSLR02CO001,9.83402489626556,,,Smooth,A,2255.0
MWPGSLR03CO001,16.502074688796682,,,Smooth,A,3784.0
MWREATA01CO001,3.416783216783217,,,Smooth,A,2326.0
MWRGSTA02CO001,12.365546218487395,,,Erratic,A,2804.0
MWSGSTA02CO001,16.370892018779344,,,Erratic,A,3314.0
MXZESTA03BK001,2.78955223880597,,,Lumpy,A,1778.0
