sku_cd,demand_class,abc_class,total_qty,eligible_min_24_weeks,stock_risk,coverage_weeks,weekly_velocity,promo_lift,promo_influence,recommended_action
MESCSMM24CO040,Lumpy,A,1747.0,True,low,,0.0,-0.8016166051292286,low,use_intermittent_or_hierarchical_forecast
MWRAAPA03CO001,Lumpy,A,1744.0,True,high,0.0,0.08333333333333333,0.303249027613832,medium,replenish_or_rebalance_before_next_sales_cycle
MYZAAVI02QH001,Lumpy,A,1724.0,True,low,,0.0,12.407407407407407,high,use_intermittent_or_hierarchical_forecast
MMKEAVE12BK001,Erratic,A,1710.0,True,low,59.73451327433629,18.833333333333332,,unknown,monitor_with_weekly_baseline
MWRAASE03BK001,Lumpy,A,1681.0,True,low,,0.0,0.8217630853994491,high,use_intermittent_or_hierarchical_forecast
MPFFSMM12CO001,Erratic,A,1676.0,True,low,23.408450704225352,11.833333333333334,,unknown,monitor_with_weekly_baseline
MYSESXT01CO001,Erratic,A,1675.0,True,low,10.96875,10.666666666666666,0.15834080047789723,medium,monitor_with_weekly_baseline
MMKCAVE07B1001,Lumpy,A,1672.0,True,low,,0.0,,unknown,use_intermittent_or_hierarchical_forecast
MXAAAVI01CO001,Lumpy,A,1660.0,True,medium,4.421052631578948,1.5833333333333333,-0.1347611403490947,low,use_intermittent_or_hierarchical_forecast
MYLDSXT01CO001,Intermittent,A,1659.0,True,low,52.0,0.5,-0.502845435920783,low,use_intermittent_or_hierarchical_forecast
MWDCSDU02BK001,Lumpy,A,1627.0,True,low,201.0,0.3333333333333333,-0.04617453069507871,low,use_intermittent_or_hierarchical_forecast
MWTEATA01CO001,Lumpy,A,1626.0,True,low,42.0,0.16666666666666666,0.34116226690745277,medium,use_intermittent_or_hierarchical_forecast
MYS9APA13CO001,Lumpy,A,1624.0,True,medium,4.8,0.4166666666666667,-0.25255408313512284,low,use_intermittent_or_hierarchical_forecast
MMBDATA01CO001,Lumpy,A,1622.0,True,low,,0.0,0.4082391542107182,medium,use_intermittent_or_hierarchical_forecast
MMKAAVE09XC001,Lumpy,A,1608.0,True,low,,0.0,-0.23981476138265334,low,use_intermittent_or_hierarchical_forecast
MEXCSMM22CO042,Lumpy,A,1605.0,True,low,,0.0,0.1136543909348442,medium,use_intermittent_or_hierarchical_forecast
MYLDSXT03CO001,Lumpy,A,1593.0,True,low,99.0,0.3333333333333333,0.05837696335078535,low,use_intermittent_or_hierarchical_forecast
MPCCSMM02CO001,Lumpy,A,1584.0,True,low,,0.0,0.45340967876807947,medium,use_intermittent_or_hierarchical_forecast
MPFFSMM07CO001,Erratic,A,1578.0,True,low,52.05,13.333333333333334,,unknown,monitor_with_weekly_baseline
MWTESAC01P6001,Lumpy,A,1570.0,True,low,1452.0,0.4166666666666667,,unknown,use_intermittent_or_hierarchical_forecast
MWBESEA01PZ001,Erratic,A,1569.0,True,low,116.16867469879517,13.833333333333334,,unknown,monitor_with_weekly_baseline
